date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:57	93829/93829	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:32:45%20GMT	https://www.w3schools.com:443/html/html_lists.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_lists.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:57	97059/97059	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:40:09%20GMT	https://www.w3schools.com:443/html/html_lists_unordered.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_lists_unordered.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:58	96567/96567	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:40:53%20GMT	https://www.w3schools.com:443/html/html_lists_ordered.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_lists_ordered.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:58	92932/92932	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:42:18%20GMT	https://www.w3schools.com:443/html/html_lists_other.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_lists_other.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:59	100598/100598	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:32:02%20GMT	https://www.w3schools.com:443/html/html_blocks.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_blocks.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:59	99235/99235	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:34:35%20GMT	https://www.w3schools.com:443/html/html_classes.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_classes.html	(from https://www.w3schools.com:443/html/default.asp)
10:58:00	97636/97636	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:34:26%20GMT	https://www.w3schools.com:443/html/html_id.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_id.html	(from https://www.w3schools.com:443/html/default.asp)
10:58:00	95706/95706	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:31:03%20GMT	https://www.w3schools.com:443/html/html_iframe.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_iframe.html	(from https://www.w3schools.com:443/html/default.asp)
10:58:01	95252/95252	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:33:43%20GMT	https://www.w3schools.com:443/html/html_scripts.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_scripts.html	(from https://www.w3schools.com:443/html/default.asp)
10:58:02	93559/93559	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:34:40%20GMT	https://www.w3schools.com:443/html/html_filepaths.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_filepaths.html	(from https://www.w3schools.com:443/html/default.asp)
